epochs,acc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0.347622027534418,0.5405405405405406,0.40540540540540543,0.3125,0.4358974358974359,0.38333333333333336,0.4523809523809524,0.5789473684210527,0.49122807017543857,0.5151515151515151,0.8,0.30851063829787234,0.39473684210526316,0.10606060606060606,0.45652173913043476,0.13513513513513514,0.8571428571428571,0.3023255813953488,0.22807017543859648,0.4583333333333333,0.2716049382716049,0.5,0.18333333333333332,0.78125,0.41379310344827586,0.1111111111111111,0.7777777777777778,0.7352941176470589,0.16071428571428573,0.696969696969697,0.45652173913043476,0.8787878787878788,0.5217391304347826,0.24074074074074073,0.75,0.4918032786885246,0.7380952380952381,0.18181818181818182,0.2571428571428571,0.1527777777777778,0.375,0.2564102564102564,0.45714285714285713,0.17857142857142858,0.0684931506849315,0.22807017543859648,0.38596491228070173,0.62,0.25,0.15294117647058825,0.17154811715481172,0.0
11,0.3526282853566959,0.40540540540540543,0.1891891891891892,0.375,0.4358974358974359,0.45,0.23809523809523808,0.8157894736842105,0.543859649122807,0.45454545454545453,0.8266666666666667,0.40425531914893614,0.2894736842105263,0.22727272727272727,0.5434782608695652,0.35135135135135137,0.8571428571428571,0.3023255813953488,0.24561403508771928,0.4791666666666667,0.16049382716049382,0.4827586206896552,0.18333333333333332,0.8125,0.46551724137931033,0.1388888888888889,0.7777777777777778,0.7352941176470589,0.16071428571428573,0.3939393939393939,0.34782608695652173,0.9090909090909091,0.3695652173913043,0.2222222222222222,0.6521739130434783,0.7213114754098361,0.7619047619047619,0.2727272727272727,0.6285714285714286,0.16666666666666666,0.5,0.358974358974359,0.5428571428571428,0.20238095238095238,0.0684931506849315,0.22807017543859648,0.2807017543859649,0.48,0.21875,0.22941176470588234,0.13598326359832635,0.029411764705882353
12,0.3541927409261577,0.4594594594594595,0.32432432432432434,0.5,0.4358974358974359,0.3333333333333333,0.40476190476190477,0.6842105263157895,0.543859649122807,0.42424242424242425,0.7733333333333333,0.39361702127659576,0.3157894736842105,0.15151515151515152,0.4782608695652174,0.13513513513513514,0.7714285714285715,0.27906976744186046,0.21052631578947367,0.5625,0.16049382716049382,0.5517241379310345,0.25,0.75,0.4827586206896552,0.19444444444444445,0.7777777777777778,0.7352941176470589,0.07142857142857142,0.5454545454545454,0.4782608695652174,0.9090909090909091,0.45652173913043476,0.30864197530864196,0.5,0.6557377049180327,0.7619047619047619,0.12121212121212122,0.4,0.1111111111111111,0.40625,0.2564102564102564,0.44285714285714284,0.27380952380952384,0.0821917808219178,0.19298245614035087,0.38596491228070173,0.54,0.15625,0.17058823529411765,0.21338912133891214,0.0
13,0.3494993742177722,0.4864864864864865,0.35135135135135137,0.4375,0.46153846153846156,0.36666666666666664,0.4523809523809524,0.631578947368421,0.543859649122807,0.45454545454545453,0.7866666666666666,0.3723404255319149,0.3157894736842105,0.30303030303030304,0.45652173913043476,0.21621621621621623,0.7142857142857143,0.27906976744186046,0.2807017543859649,0.7291666666666666,0.19753086419753085,0.4482758620689655,0.23333333333333334,0.75,0.46551724137931033,0.19444444444444445,0.7777777777777778,0.6764705882352942,0.08928571428571429,0.6060606060606061,0.32608695652173914,0.9090909090909091,0.5652173913043478,0.2345679012345679,0.5978260869565217,0.32786885245901637,0.7619047619047619,0.30303030303030304,0.2857142857142857,0.1111111111111111,0.5,0.23076923076923078,0.32857142857142857,0.32142857142857145,0.0684931506849315,0.2807017543859649,0.38596491228070173,0.56,0.28125,0.2,0.16108786610878661,0.0
14,0.34637046307884856,0.5945945945945946,0.1891891891891892,0.5625,0.358974358974359,0.4166666666666667,0.35714285714285715,0.7105263157894737,0.543859649122807,0.48484848484848486,0.8133333333333334,0.35106382978723405,0.4473684210526316,0.21212121212121213,0.5217391304347826,0.3783783783783784,0.7428571428571429,0.27906976744186046,0.21052631578947367,0.4166666666666667,0.18518518518518517,0.5517241379310345,0.2,0.6875,0.39655172413793105,0.1388888888888889,0.8055555555555556,0.7352941176470589,0.14285714285714285,0.3939393939393939,0.4782608695652174,0.9393939393939394,0.41304347826086957,0.3271604938271605,0.6630434782608695,0.5081967213114754,0.7857142857142857,0.18181818181818182,0.4,0.06944444444444445,0.4375,0.28205128205128205,0.5142857142857142,0.20238095238095238,0.0684931506849315,0.24561403508771928,0.3684210526315789,0.6,0.125,0.11176470588235295,0.14435146443514643,0.0
15,0.3454317897371715,0.5135135135135135,0.24324324324324326,0.5,0.48717948717948717,0.38333333333333336,0.3333333333333333,0.6578947368421053,0.49122807017543857,0.45454545454545453,0.7866666666666666,0.5,0.23684210526315788,0.16666666666666666,0.5217391304347826,0.2972972972972973,0.6857142857142857,0.2558139534883721,0.19298245614035087,0.4166666666666667,0.19753086419753085,0.46551724137931033,0.23333333333333334,0.75,0.3103448275862069,0.1388888888888889,0.7777777777777778,0.6176470588235294,0.19642857142857142,0.5454545454545454,0.32608695652173914,0.9393939393939394,0.43478260869565216,0.32098765432098764,0.5543478260869565,0.4098360655737705,0.7857142857142857,0.21212121212121213,0.6,0.2222222222222222,0.375,0.28205128205128205,0.4,0.08333333333333333,0.0684931506849315,0.2631578947368421,0.3157894736842105,0.62,0.28125,0.13529411764705881,0.19665271966527198,0.08823529411764706
16,0.3545056320400501,0.5135135135135135,0.24324324324324326,0.5,0.38461538461538464,0.4166666666666667,0.42857142857142855,0.7105263157894737,0.49122807017543857,0.36363636363636365,0.7733333333333333,0.5957446808510638,0.3157894736842105,0.15151515151515152,0.5,0.3783783783783784,0.7714285714285715,0.3023255813953488,0.21052631578947367,0.3958333333333333,0.32098765432098764,0.46551724137931033,0.21666666666666667,0.8125,0.3448275862068966,0.16666666666666666,0.7777777777777778,0.7647058823529411,0.14285714285714285,0.7272727272727273,0.45652173913043476,0.9090909090909091,0.4782608695652174,0.16666666666666666,0.6304347826086957,0.45901639344262296,0.7380952380952381,0.2727272727272727,0.2857142857142857,0.1111111111111111,0.375,0.3333333333333333,0.4714285714285714,0.16666666666666666,0.0547945205479452,0.2807017543859649,0.3508771929824561,0.54,0.21875,0.13529411764705881,0.21338912133891214,0.029411764705882353
17,0.3469962453066333,0.3783783783783784,0.24324324324324326,0.5625,0.5128205128205128,0.43333333333333335,0.2619047619047619,0.6842105263157895,0.543859649122807,0.45454545454545453,0.8266666666666667,0.48936170212765956,0.2894736842105263,0.10606060606060606,0.45652173913043476,0.4594594594594595,0.7714285714285715,0.13953488372093023,0.19298245614035087,0.4791666666666667,0.16049382716049382,0.5689655172413793,0.26666666666666666,0.6875,0.3275862068965517,0.16666666666666666,0.8055555555555556,0.7647058823529411,0.19642857142857142,0.36363636363636365,0.391304347826087,0.9090909090909091,0.4782608695652174,0.14814814814814814,0.6304347826086957,0.6065573770491803,0.8095238095238095,0.06060606060606061,0.5428571428571428,0.1527777777777778,0.3125,0.2564102564102564,0.37142857142857144,0.20238095238095238,0.0547945205479452,0.24561403508771928,0.24561403508771928,0.56,0.28125,0.14705882352941177,0.2280334728033473,0.0
18,0.35168961201501875,0.4864864864864865,0.24324324324324326,0.59375,0.46153846153846156,0.25,0.2857142857142857,0.6842105263157895,0.543859649122807,0.48484848484848486,0.8,0.3404255319148936,0.42105263157894735,0.3484848484848485,0.5434782608695652,0.40540540540540543,0.6857142857142857,0.23255813953488372,0.2631578947368421,0.4375,0.1728395061728395,0.5344827586206896,0.23333333333333334,0.65625,0.3275862068965517,0.1388888888888889,0.7777777777777778,0.7352941176470589,0.19642857142857142,0.6060606060606061,0.5217391304347826,0.9090909090909091,0.391304347826087,0.2037037037037037,0.5434782608695652,0.5081967213114754,0.8333333333333334,0.3333333333333333,0.45714285714285713,0.1111111111111111,0.34375,0.358974358974359,0.34285714285714286,0.15476190476190477,0.0821917808219178,0.24561403508771928,0.42105263157894735,0.44,0.28125,0.16470588235294117,0.2301255230125523,0.0
19,0.3369837296620776,0.3783783783783784,0.2972972972972973,0.5625,0.5384615384615384,0.45,0.23809523809523808,0.7105263157894737,0.543859649122807,0.48484848484848486,0.76,0.4787234042553192,0.3157894736842105,0.21212121212121213,0.5217391304347826,0.13513513513513514,0.7714285714285715,0.27906976744186046,0.19298245614035087,0.5416666666666666,0.16049382716049382,0.4827586206896552,0.2,0.78125,0.4482758620689655,0.05555555555555555,0.7777777777777778,0.7352941176470589,0.17857142857142858,0.45454545454545453,0.5,0.9090909090909091,0.45652173913043476,0.21604938271604937,0.5543478260869565,0.639344262295082,0.7857142857142857,0.2727272727272727,0.5428571428571428,0.09722222222222222,0.21875,0.2564102564102564,0.4857142857142857,0.14285714285714285,0.0547945205479452,0.2631578947368421,0.3508771929824561,0.56,0.28125,0.13529411764705881,0.11715481171548117,0.0
