push,28,0.521966889,0.551273987,0.53778174,0.497441558,0.527116043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pushup,29,0.477486416,0.588114674,0.538682888,0.491637412,0.523980347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kick ball,21,0.502477061,0.521373489,0.496516031,0.540702222,0.515267201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,17,0.557020945,0.461480349,0.532130488,0.498214233,0.512211504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wave,50,0.574318428,0.435358864,0.49516144,0.493606097,0.499611207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kick,20,0.473580614,0.521823915,0.475784373,0.499462342,0.492662811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pick,24,0.495084509,0.474656776,0.49458918,0.467469896,0.48295009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sword exercise,45,0.408449346,0.502683007,0.48758973,0.440575321,0.459824351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walk,49,0.413521169,0.544999114,0.395523018,0.432292276,0.446583894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
climb,5,0.433046789,0.416246627,0.441856961,0.397495195,0.422161393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
climb stairs,6,0.405514179,0.425575771,0.361750863,0.453686786,0.4116319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot gun,36,0.421831223,0.392793208,0.444561296,0.375084877,0.408567651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handstand,16,0.371408573,0.433832508,0.408106778,0.406270785,0.404904661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laugh,23,0.386767952,0.387461672,0.420273155,0.414270011,0.402193198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punch,27,0.415073738,0.397460191,0.437927783,0.357577949,0.402009915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
