epochs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
9,0.8,0.8266666666666667,0.72,0.8,0.8266666666666667,0.84,0.7866666666666666,0.8133333333333334,0.7866666666666666,0.7866666666666666,0.84,0.8666666666666667,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8133333333333334,0.8666666666666667,0.88,0.84,0.8,0.8266666666666667,0.8666666666666667,0.8133333333333334,0.8533333333333334,0.8266666666666667,0.84,0.84,0.8,0.8266666666666667
10,0.1276595744680851,0.5319148936170213,0.0851063829787234,0.3404255319148936,0.22340425531914893,0.3404255319148936,0.2978723404255319,0.44680851063829785,0.32978723404255317,0.44680851063829785,0.2127659574468085,0.3829787234042553,0.2978723404255319,0.3829787234042553,0.43617021276595747,0.2978723404255319,0.22340425531914893,0.3617021276595745,0.2765957446808511,0.32978723404255317,0.3404255319148936,0.3404255319148936,0.3404255319148936,0.35106382978723405,0.39361702127659576,0.39361702127659576,0.32978723404255317,0.2978723404255319,0.3191489361702128,0.3404255319148936
11,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.2631578947368421,0.39473684210526316,0.23684210526315788,0.2631578947368421,0.23684210526315788,0.3684210526315789,0.2631578947368421,0.5263157894736842,0.2631578947368421,0.23684210526315788,0.3157894736842105,0.34210526315789475,0.2894736842105263,0.2894736842105263,0.34210526315789475,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.23684210526315788
12,0.12121212121212122,0.07575757575757576,0.25757575757575757,0.16666666666666666,0.4090909090909091,0.2878787878787879,0.30303030303030304,0.3939393939393939,0.22727272727272727,0.21212121212121213,0.19696969696969696,0.30303030303030304,0.22727272727272727,0.21212121212121213,0.16666666666666666,0.19696969696969696,0.25757575757575757,0.25757575757575757,0.21212121212121213,0.19696969696969696,0.2878787878787879,0.22727272727272727,0.30303030303030304,0.25757575757575757,0.22727272727272727,0.25757575757575757,0.3484848484848485,0.2878787878787879,0.30303030303030304,0.22727272727272727
13,0.2826086956521739,0.2608695652173913,0.41304347826086957,0.41304347826086957,0.43478260869565216,0.4782608695652174,0.45652173913043476,0.391304347826087,0.43478260869565216,0.5,0.5,0.43478260869565216,0.3695652173913043,0.45652173913043476,0.5,0.4782608695652174,0.4782608695652174,0.45652173913043476,0.45652173913043476,0.43478260869565216,0.4782608695652174,0.41304347826086957,0.5,0.45652173913043476,0.43478260869565216,0.43478260869565216,0.41304347826086957,0.4782608695652174,0.4782608695652174,0.43478260869565216
14,0.32432432432432434,0.2702702702702703,0.16216216216216217,0.2702702702702703,0.5945945945945946,0.43243243243243246,0.24324324324324326,0.1891891891891892,0.1891891891891892,0.24324324324324326,0.3783783783783784,0.35135135135135137,0.40540540540540543,0.43243243243243246,0.2702702702702703,0.2702702702702703,0.35135135135135137,0.2702702702702703,0.5135135135135135,0.24324324324324326,0.5135135135135135,0.21621621621621623,0.1891891891891892,0.2972972972972973,0.35135135135135137,0.24324324324324326,0.40540540540540543,0.4594594594594595,0.2972972972972973,0.24324324324324326
15,0.7142857142857143,0.7142857142857143,0.8,0.8,0.8,0.9142857142857143,0.8,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8857142857142857,0.8285714285714286,0.8,0.8285714285714286,0.7714285714285715,0.7714285714285715,0.6857142857142857,0.7142857142857143,0.8,0.7142857142857143,0.6857142857142857,0.8857142857142857,0.8,0.8571428571428571,0.8,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.8285714285714286,0.7142857142857143
16,0.13953488372093023,0.3488372093023256,0.16279069767441862,0.32558139534883723,0.32558139534883723,0.4883720930232558,0.4186046511627907,0.3953488372093023,0.4186046511627907,0.4186046511627907,0.2558139534883721,0.3488372093023256,0.20930232558139536,0.3023255813953488,0.3488372093023256,0.32558139534883723,0.27906976744186046,0.3953488372093023,0.3023255813953488,0.16279069767441862,0.32558139534883723,0.3023255813953488,0.4883720930232558,0.3023255813953488,0.32558139534883723,0.3023255813953488,0.3023255813953488,0.2558139534883721,0.3023255813953488,0.37209302325581395
17,0.17543859649122806,0.15789473684210525,0.12280701754385964,0.15789473684210525,0.17543859649122806,0.17543859649122806,0.17543859649122806,0.15789473684210525,0.14035087719298245,0.19298245614035087,0.22807017543859648,0.15789473684210525,0.17543859649122806,0.17543859649122806,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.24561403508771928,0.12280701754385964,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.19298245614035087,0.15789473684210525,0.21052631578947367,0.17543859649122806,0.17543859649122806,0.15789473684210525
18,0.5625,0.22916666666666666,0.3958333333333333,0.3333333333333333,0.4583333333333333,0.3958333333333333,0.4583333333333333,0.4375,0.3541666666666667,0.22916666666666666,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.4375,0.4583333333333333,0.5,0.4166666666666667,0.25,0.4583333333333333,0.4375,0.3333333333333333,0.3958333333333333,0.4583333333333333,0.4791666666666667,0.4583333333333333,0.4375,0.3958333333333333,0.3958333333333333,0.4166666666666667,0.5208333333333334
